月份,取值类型,科目编码,科目名称,公司名称,币种,商品大类,平台,行政组织,业务时间,借方发生额,贷方发生额,摘要,凭证号,制单人,来源类型
202601,核算取值,6301.01,营业外收入_财政补贴,南京宏昇网络科技有限公司,人民币,,,,'2026-01-08 00:00:00,,236276.0,补贴收入+南京谷川联行商务咨询有限公司,00004
202601,核算取值,6602.04.03.04,管理费用_办公费_差旅费_餐费,南京宏昇网络科技有限公司,人民币,,,财务,'2026-01-30 00:00:00,-16701.16,,符熙报销海外差旅费NJHH-XZ-FK-20260105-00003---2025年12月已计提入账本月仅付款&调整费用+决算取+0%,00007,,手工凭证
202601,核算取值,6602.04.08,管理费用_办公费_通讯费,南京宏昇网络科技有限公司,人民币,,,财务,'2026-01-30 00:00:00,-935.74,,符熙报销海外差旅费NJHH-XZ-FK-20260105-00003---2025年12月已计提入账本月仅付款&调整费用+决算取+0%,00007,,手工凭证
202601,核算取值,6602.04.03.02,管理费用_办公费_差旅费_长途交通,南京宏昇网络科技有限公司,人民币,,,财务,'2026-01-30 00:00:00,-2362.21,,符熙报销海外差旅费NJHH-XZ-FK-20260105-00003---2025年12月已计提入账本月仅付款&调整费用+决算取+0%,00007,,手工凭证
202601,核算取值,6602.04.03.03,管理费用_办公费_差旅费_住宿费,南京宏昇网络科技有限公司,人民币,,,财务,'2026-01-30 00:00:00,-66681.08,,符熙报销海外差旅费NJHH-XZ-FK-20260105-00003---2025年12月已计提入账本月仅付款&调整费用+决算取+0%,00007,,手工凭证
202601,核算取值,6602.01.02,管理费用_工资性支出_员工社保,南京宏昇网络科技有限公司,人民币,,,税务管理部,'2026-01-31 00:00:00,1247.9,,计提202601月社保,00016,,手工凭证
202601,核算取值,6001.01.01,主营业务收入_销售收入_销售收入-6%,南京宏昇网络科技有限公司,人民币,生活服务,八爪鱼平台,,'2026-01-31 00:00:00,,833254.72,线下卡密销售,00019,,手工凭证
202601,核算取值,6401.01.05,主营业务成本_销售成本_销售成本-3%,南京宏昇网络科技有限公司,人民币,生活服务,八爪鱼平台,,'2026-01-31 00:00:00,779126.21,,线下卡密销售,00019,,手工凭证
202601,核算取值,6403.01,营业税金及附加_城市维护建设税,南京宏昇网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,1547.81,,计提本月附加税,00023,,手工凭证
202601,核算取值,6403.03,营业税金及附加_地方教育费附加,南京宏昇网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,442.23,,计提本月附加税,00023,,手工凭证
202601,核算取值,6403.02,营业税金及附加_教育费附加,南京宏昇网络科技有限公司,人民币,,,,'2026-01-31 00:00:00,663.35,,计提本月附加税,00023,,手工凭证
202601,核算取值,6603.03,财务费用_手续费,周口福蕊网络科技有限公司,人民币,,,,'2026-01-29 00:00:00,37.5,,支付-短信费&调整费用+0%,00001,,手工凭证
202601,核算取值,6603.01,财务费用_利息收入,周口福蕊网络科技有限公司,人民币,,,,'2026-01-29 00:00:00,-0.44,,收季度结息&调整费用+0%,00002,,手工凭证
202601,核算取值,6301.03,营业外收入_其它,周口福蕊网络科技有限公司,人民币,,,,'2026-01-29 00:00:00,,1.01,商户余额清理,00009,,手工凭证
202601,核算取值,6301.03,营业外收入_其它,周口福蕊网络科技有限公司,人民币,,,,'2026-01-29 00:00:00,,25.08,商户余额清理,00010,,其它系统引入
